Passport Number,Full Name,Date of Birth,Gender,City of Birth,Country of Birth,Citizenship,Marital Status,Intake Applied For,Name of Spouse,Passport Issue Date,Phone Number,Email Address,Canadian Institution Name,Course Name,Date of Upfront Medical,Status,Biometric Date,Visa Application Date,Medical Updated,Visa Category
89ZC626O,Abhishek Patel,1994-09-15,Male,Kerala,INDIA,INDIAN,SINGLE,Fall 2022,,2017-03-18,965174729,abhishek.patel@gmail.com,University of Windsor,MAC,2022-02-24,Waiting for PPR,2022-08-02,2022-07-25,2022-07-15,Study Visa
6NMMQD2V,Meenakshi,1999-02-16,Female,Goa,INDIA,INDIAN,SINGLE,Fall 2022,,2016-09-16,5304972491,meenakshi.s@gmail.com,University of Windsor,MOM-BDA,2022-02-13,Waiting for PPR,2022-06-17,2022-06-03,2022-05-15,Study Visa
O0ZJEVUW,Namankumar Parekh,1994-07-03,Male,Manipur,INDIA,INDIAN,SINGLE,Fall 2022,,2015-12-15,8857942519,namankumar_parekh@yahoo.com,University of Windsor,MEng-Mechanical,2021-12-13,Waiting for PPR,2022-06-14,2022-05-13,2022-04-05,Study Visa
1HL9NOYQ,Noamaan Ahmed,1996-05-11,Male,West Bengal,INDIA,INDIAN,SINGLE,Fall 2022,,2021-07-11,1063835933,noamaanahmed9@gmail.com,University of Windsor,MoM-SCM,2021-12-22,Waiting for PPR,2022-05-25,2022-05-12,2022-05-01,Study Visa
QB4FN1AC,Cecil Joseph,1996-08-29,Male,Manipur,INDIA,INDIAN,SINGLE,Fall 2022,,2020-07-05,4571385896,cecilj@gmail.com,University of Windsor,MAC,2022-01-16,Waiting for PPR,2022-06-17,2022-06-04,2022-05-17,Study Visa
8LOMSDHK,Noyal Sam Mathew,1994-06-18,Male,Uttarakhand,INDIA,INDIAN,SINGLE,Fall 2022,,2021-09-26,4942074750,"noyalaam.mathew@yahoo.com,",University of Windsor,MAC,2021-12-19,Waiting for PPR,2022-06-17,2022-06-04,2022-05-25,Study Visa
NEJBN0CB,Sumit Mehta,1995-06-04,Male,Uttarakhand,INDIA,INDIAN,SINGLE,Fall 2022,,2021-03-28,9001657195,sumit.mehta@outlook.com,University of Windsor,Meng ECE,2022-02-14,Waiting for PPR,2022-04-13,2022-03-10,2022-02-28,Study Visa
6KXORZSR,Shaileshkumar Parmar,1992-07-09,Male,Mizoram,INDIA,INDIAN,SINGLE,Fall 2022,,2017-05-06,7350868392,shaileshkumarparmar@yahoo.com,University of Windsor,Meng-Mechanical,2022-01-06,Waiting for PPR,2022-05-25,2022-04-14,2022-03-12,Study Visa
3LEYIIYP,Ankit prajapati,2000-08-17,Male,Meghalaya,INDIA,INDIAN,SINGLE,Fall 2022,,2018-12-02,4695607944,ankitprajapati@gmail.com,University of Windsor,Meng mechanical,2022-02-23,Waiting for PPR,2022-06-09,2022-06-03,2022-05-20,Study Visa
TPYZPZQ8,Rutvik Ravrani,1994-05-03,Male,Nagaland,INDIA,INDIAN,SINGLE,Fall 2022,,2018-01-12,558743502,rutvik_ravrani@gmail.com,University of Windsor,Meng ECE,2022-02-26,Waiting for PPR,2022-06-16,2022-05-17,2022-05-01,Study Visa
I1EI1NZY,Aman Modi,1995-11-01,Male,Gujarat,INDIA,INDIAN,SINGLE,Fall 2022,,2017-02-11,4574131489,amanmodi12@gmail.com,University of Windsor,MEng ECE,2021-12-15,Waiting for PPR,2022-06-23,2022-04-19,2022-04-02,Study Visa
OYAPG2XA,Adarsh Gupta,1993-08-27,Male,Uttar Pradesh,INDIA,INDIAN,SINGLE,Fall 2022,,2019-01-01,4779569749,adarshgupta@gmail.com,University of Windsor,MoM BDA,2022-03-02,Waiting for PPR,2022-05-02,2022-04-24,2022-04-07,Study Visa
P925I2K9,Bhargav Thaker,1993-06-20,Male,Assam,INDIA,INDIAN,SINGLE,Fall 2022,,2018-01-29,8377972384,bhargav1_thaker@gmail.com,University of Windsor,MoM-IAF,2021-12-24,Waiting for PPR,2022-05-27,2022-05-07,2022-04-15,Study Visa
